,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
New Mexico,1148,378,770,877,289,1830,1680,1599,1303,1228,773,934,1116,780,609,1175,930,1990,1627,1917,1240,930,930,783,817,615,793,1893,1719,0,1777,1526,814,1284,474,1100,1607,1895,1422,670,1071,603,479,1850,1579,1174,1351,1019,383
New York,986,2154,1138,2483,1618,84,258,310,1023,842,2117,846,671,1016,1168,658,1275,234,292,143,546,973,1145,1003,1880,1183,2382,120,176,1777,0,539,1347,511,1360,2422,230,135,708,1328,824,1572,1954,127,404,2384,508,789,1588
North Carolina,498,1896,776,2343,1452,521,288,231,493,357,2049,659,491,898,959,379,810,753,248,608,571,985,703,768,1870,1034,2245,636,371,1526,539,0,1368,372,1057,2387,323,569,176,1283,455,1167,1825,666,135,2383,239,760,1455
North Dakota,1257,1091,943,1190,528,1424,1374,1314,1432,1242,783,739,879,506,595,1002,1242,1501,1335,1487,842,390,1146,716,533,461,1091,1439,1373,814,1347,1368,0,1006,801,1075,1272,1482,1361,169,1028,1151,694,1368,1347,1041,1131,612,439
Ohio,559,1662,630,2045,1158,552,402,327,663,437,1719,353,168,566,680,160,803,741,353,643,205,618,665,502,1520,722,1945,631,435,1284,511,372,1006,0,852,2048,323,617,427,936,335,1067,1517,609,342,2035,135,394,1144
Oklahoma,678,839,296,1335,500,1404,1232,1150,841,753,1141,523,689,472,266,724,507,1585,1178,1495,855,695,472,364,1075,372,1245,1479,1280,474,1360,1057,801,852,0,1488,1170,1468,948,633,603,357,864,1448,1120,1532,899,682,556
Oregon,2142,979,1760,447,990,2498,2435,2369,2314,2178,348,1728,1899,1489,1454,2007,1992,2573,2392,2562,1906,1455,1956,1638,542,1357,433,2514,2440,1100,2422,2387,1075,2048,1488,0,2337,2557,2340,1113,1978,1701,630,2442,2389,146,2161,1665,955
Pennsylvania,756,1985,929,2357,1475,242,106,95,796,612,2016,675,491,877,1002,451,1049,460,92,336,431,884,922,824,1800,1038,2257,342,112,1607,230,323,1272,323,1170,2337,0,304,484,1226,607,1359,1829,353,192,2312,286,673,1457
Rhode Island,1046,2273,1233,2614,1745,65,283,357,1061,901,2250,962,782,1142,1287,754,1346,193,332,41,674,1107,1222,1116,2015,1308,2513,98,206,1895,135,569,1482,617,1468,2557,304,0,744,1461,911,1663,2084,179,438,2519,590,918,1717
South Carolina,333,1784,655,2263,1378,696,462,399,317,204,1996,625,491,867,890,363,647,927,419,784,631,994,552,702,1839,983,2168,809,544,1422,708,176,1361,427,948,2340,484,744,0,1257,364,1018,1756,834,308,2348,301,774,1392
